# galuboy patch-array antenna pattern
# N=16  fov_in=50.0  fov_out=70.0  floor=-20.0 dB  G_max=12.04 dBi
# az/el are offsets from boresight in degrees.
az_deg,el_deg,gain_dbi
-15,90,-20.000
-10,-90,-20.000
-10,-85,-20.000
-10,-80,-20.000
-10,-75,-20.000
-10,-70,-20.000
-10,-65,-15.308
-10,-60,-3.979
-10,-55,7.349
-10,-50,12.041
-10,-45,12.041
-10,-40,12.041
-10,-35,12.041
-10,-30,12.041
-10,-25,12.041
-10,-20,12.041
-10,-15,12.041
-10,-10,12.041
-10,-5,12.041
-10,0,12.041
-10,5,12.041
-10,10,12.041
-10,15,12.041
-10,20,12.041
-10,25,12.041
-10,30,12.041
-10,35,12.041
-10,40,12.041
-10,45,12.041
-10,50,12.041
-10,55,7.349
-10,60,-3.979
-10,65,-15.308
-10,70,-20.000
-10,75,-20.000
-10,80,-20.000
-10,85,-20.000
-10,90,-20.000
-5,-90,-20.000
-5,-85,-20.000
-5,-80,-20.000
-5,-75,-20.000
-5,-70,-20.000
-5,-65,-15.308
